Run_ID,Model_Name,MAE,RMSE,R2_Score,Training_Time_Seconds,Status
1,HDEP,1379.560149,5317.113861,0.733348,223.388,Success
2,HDEP,1382.491303,4942.655575,0.769584,223.144,Success
3,HDEP,1387.32783,5338.382162,0.731211,198.841,Success
4,HDEP,1438.494523,5690.65922,0.694566,193.081,Success
5,HDEP,1404.091191,5576.13321,0.706736,218.762,Success
6,HDEP,1395.159087,5488.178973,0.715914,209.432,Success
7,HDEP,1377.68662,4713.910099,0.790417,249.032,Success
8,HDEP,1410.556828,5408.708026,0.724082,192.549,Success
9,HDEP,1399.98896,5580.709914,0.706254,246.101,Success
10,HDEP,1389.603977,5208.099537,0.74417,210.53,Success
